Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
David Roddy,22.6,MEM,Forward,663,49,15.7%,8,99.1,43,7.7%,32,0.49,60,10.0%
Derrick Rose,35.1,MEM,Point,283,54,25.4%,19,103.8,78,29.2%,59,1.15,32,12.5%
Terry Rozier,29.6,CHA,Combo,676,93,29.7%,55,114.1,92,30.9%,63,1.04,70,10.2%
D'Angelo Russell,27.7,LAL,Point,906,51,24.4%,57,115.5,68,28.7%,62,1.18,57,11.0%
Matt Ryan,26.5,NOP,Combo,278,5,12.9%,90,126.9,0,6.1%,2,0.47,3,18.7%
Domantas Sabonis,27.5,SAC,Big,1039,87,24.4%,72,127.5,98,32.3%,97,1.32,41,14.6%
Dario Saric,29.6,GSW,Big,642,73,19.3%,48,121.2,80,14.2%,67,0.74,64,11.9%
Marcus Sasser,23.1,DET,Point,428,24,18.7%,49,113.3,11,19.5%,38,1.04,43,11.6%
Dennis Schroder,30.1,TOR,Point,992,35,22.5%,30,109.0,70,29.0%,76,1.29,62,10.6%
Alperen Sengun,21.3,HOU,Big,961,93,27.3%,42,119.0,95,26.3%,87,0.96,55,12.5%
Collin Sexton,24.8,UTA,Combo,717,83,26.7%,68,117.8,65,23.4%,38,0.88,50,12.0%
Landry Shamet,26.6,WAS,Combo,299,35,17.7%,72,118.6,13,12.2%,13,0.69,83,9.0%
Day'Ron Sharpe,22.0,BKN,Big,505,65,17.6%,43,119.1,63,11.7%,55,0.67,28,16.0%
Shaedon Sharpe,20.4,POR,Wing,906,86,22.3%,26,108.2,74,14.4%,47,0.65,20,14.2%
Pascal Siakam,29.6,TOR,Big,1077,91,25.5%,37,117.5,93,21.9%,80,0.86,70,11.1%
Ben Simmons,27.3,BKN,Point,190,8,15.6%,16,102.6,38,26.0%,97,1.67,0,22.1%
Anfernee Simons,24.4,POR,Combo,375,95,31.1%,87,120.6,78,26.1%,30,0.84,82,9.3%
Marcus Smart,29.7,MEM,Combo,413,72,23.8%,40,110.5,63,23.4%,53,0.98,2,19.1%
Dru Smith,25.8,MIA,Combo,126,8,13.5%,75,119.4,45,19.2%,90,1.42,42,13.0%
Ish Smith,35.3,CHA,Combo,372,20,15.5%,52,113.2,83,26.9%,98,1.73,0,20.7%
Jalen Smith,23.6,IND,Big,283,59,16.7%,99,162.1,33,7.6%,25,0.46,27,16.0%
Dennis Smith Jr.,25.9,BKN,Combo,341,65,22.3%,7,93.1,82,26.7%,77,1.20,58,10.7%
Jabari Smith Jr.,20.5,HOU,Big,881,58,16.6%,46,120.5,30,7.5%,24,0.45,79,10.3%
Nick Smith Jr.,19.5,CHA,Combo,124,17,15.2%,98,135.6,3,8.7%,3,0.57,80,9.3%
Jeremy Sochan,20.5,SAS,Combo,893,48,19.4%,23,103.1,48,19.6%,55,1.01,8,16.1%
Jaden Springer,21.1,PHI,Wing,110,44,15.6%,22,106.9,27,8.1%,21,0.52,0,28.2%
